entity_id,state,last_seen
automation.bklf_after_hours_activity_notification,off,2026-07-01T16:35:52.038805+00:00
automation.bklf_cam01_after_hours_person_notification,off,2026-07-05T20:48:47.821196+00:00
automation.bklf_device_offline_notification,off,2026-07-05T20:48:47.821196+00:00
automation.bklf_low_battery_notification,off,2026-07-05T20:48:47.821196+00:00
automation.bklf_south_entrance_active_notification,off,2026-07-05T20:48:47.821196+00:00
automation.bklf_south_entrance_doorbell_visitor_notification,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.bklf_building_secure,on,2026-07-05T20:48:47.821196+00:00
binary_sensor.bklf_cam01_person_active,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.bklf_exterior_secure,on,2026-07-05T20:48:47.821196+00:00
binary_sensor.bklf_interior_motion_active,on,2026-07-05T20:48:47.821196+00:00
binary_sensor.bklf_south_entrance_active,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c01_south_entrance_door,unavailable,2026-07-05T20:48:47.821196+00:00
binary_sensor.c03_east_door_right,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c04,on,2026-06-30T21:48:33.901563+00:00
binary_sensor.c04_west_door,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c05_north_wall_window_1,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c06_north_wall_window_2,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c07_north_wall_window_3,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c08_north_wall_window_4,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c09_north_wall_window_5,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c10_south_wall_window_1,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c11_south_wall_window_2,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c12_south_wall_window_3,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.c13_south_wall_window_4,unavailable,2026-07-05T20:48:47.821196+00:00
binary_sensor.c14_south_wall_window_5,unavailable,2026-07-05T20:48:47.821196+00:00
binary_sensor.east_door_left,unavailable,2026-07-05T20:48:47.821196+00:00
binary_sensor.ewelink_snzb_03p,on,2026-06-30T22:06:00.762114+00:00
binary_sensor.ewelink_snzb_03p_occupancy,on,2026-06-30T22:06:00.788138+00:00
binary_sensor.m01_main_hallway_motion,on,2026-07-05T20:48:47.821196+00:00
binary_sensor.m01_main_hallway_motion_occupancy,off,2026-07-05T20:48:47.821196+00:00
binary_sensor.m02_viewing_room_motion,on,2026-07-05T20:48:47.821196+00:00
